Go, Nogo, Block, Condition,Box,GoImg,NoGoImg,Scrambled_Words,Scrambled_Pictures
snowman,,,,,/Stimuli/ManMade/strap.jpg,,/Stimuli/Scrambled/Slide220S0.JPG,/Stimuli/Scrambled/paninigrillS0.jpg
sock,,,,,/Stimuli/ManMade/stroller.jpg,,/Stimuli/Scrambled/Slide221S0.JPG,/Stimuli/Scrambled/parachuteS0.jpg
spear,,,,,/Stimuli/ManMade/stubbywrench01a.jpg,,/Stimuli/Scrambled/Slide222S0.JPG,/Stimuli/Scrambled/parkfountainS0.jpg
spoon,,,,,/Stimuli/ManMade/suitofarmor.jpg,,/Stimuli/Scrambled/Slide22S0.JPG,/Stimuli/Scrambled/parrot01S0.jpg
stairs,,,,,/Stimuli/ManMade/swimsuit.jpg,,/Stimuli/Scrambled/Slide23S0.JPG,/Stimuli/Scrambled/peacockS0.jpg
stool,,,,,/Stimuli/ManMade/swing.jpg,,/Stimuli/Scrambled/Slide24S0.JPG,/Stimuli/Scrambled/pigeonS0.jpg
stove,,,,,/Stimuli/ManMade/sword01.jpg,,/Stimuli/Scrambled/Slide25S0.JPG,/Stimuli/Scrambled/pigS0.jpg
buggy,,,,,/Stimuli/ManMade/table01.jpg,,/Stimuli/Scrambled/Slide26S0.JPG,/Stimuli/Scrambled/pilgrimhatS0.jpg
swing,,,,,/Stimuli/ManMade/tambourine03.jpg,,/Stimuli/Scrambled/Slide27S0.JPG,/Stimuli/Scrambled/pillarS0.jpg
sword,,,,,/Stimuli/ManMade/tank.jpg,,/Stimuli/Scrambled/Slide28S0.JPG,/Stimuli/Scrambled/pitchforkS0.jpg
table,,,,,/Stimuli/ManMade/telescope.jpg,,/Stimuli/Scrambled/Slide29S0.JPG,/Stimuli/Scrambled/platypusS0.jpg
tambourine,,,,,/Stimuli/ManMade/tent.jpg,,/Stimuli/Scrambled/Slide2S0.JPG,/Stimuli/Scrambled/porcupineS0.jpg
tank,,,,,/Stimuli/ManMade/tie02.jpg,,/Stimuli/Scrambled/Slide30S0.JPG,/Stimuli/Scrambled/raccoonS0.jpg
telescope,,,,,/Stimuli/ManMade/tire.jpg,,/Stimuli/Scrambled/Slide31S0.JPG,/Stimuli/Scrambled/recorder04S0.jpg
tent,,,,,/Stimuli/ManMade/tombstone.jpg,,/Stimuli/Scrambled/Slide32S0.JPG,/Stimuli/Scrambled/recordS0.jpg
